"id","station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","WindkmhDir","WindkmhGust","WindkmhInt"
40,8567,2014-03-10,13.3,17.9,8.4,"N",21.6,3.9
42,8548,2014-03-10,16.1,19.3,10.4,"E",28.8,5.9
43,8570,2014-03-10,12.4,17.9,7.4,"E",28.8,11.7
44,8548,2014-03-10,16.1,19.3,10.4,"E",28.8,5.9
45,8548,2014-03-10,16.1,19.3,10.4,"E",28.8,5.9
46,8548,2014-03-10,16.1,19.3,10.4,"E",28.8,5.9
47,8567,2014-03-10,13.3,17.9,8.4,"N",21.6,3.9
49,8570,2014-03-10,12.4,17.9,7.4,"E",28.8,11.7
50,8570,2014-03-10,12.4,17.9,7.4,"E",28.8,11.7
52,8567,2014-03-10,13.3,17.9,8.4,"N",21.6,3.9
54,8567,2014-03-10,13.3,17.9,8.4,"N",21.6,3.9
55,8567,2014-03-10,13.3,17.9,8.4,"N",21.6,3.9
56,8562,2014-03-10,13,18.7,5.5,"SE",NA,12.6
57,8537,2014-03-10,NA,NA,NA,NA,NA,NA
58,8570,2014-03-10,12.4,17.9,7.4,"E",28.8,11.7
59,8548,2014-03-10,16.1,19.3,10.4,"E",28.8,5.9
61,8551,2014-03-10,14.5,22.9,7.7,"WSW",28.8,4.1
62,8570,2014-03-10,12.4,17.9,7.4,"E",28.8,11.7
64,8570,2014-03-11,13.4,19.6,7.2,"ENE",32.4,11.4
65,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
66,8551,2014-03-11,14.1,23.4,8.5,"W",21.6,7.7
67,8548,2014-03-11,15.1,23,10.2,"NE",32.4,9.3
68,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
69,8558,2014-03-11,11.9,19,5.3,NA,NA,NA
71,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
72,8548,2014-03-11,15.1,23,10.2,"NE",32.4,9.3
73,8558,2014-03-11,11.9,19,5.3,NA,NA,NA
75,8548,2014-03-11,15.1,23,10.2,"NE",32.4,9.3
77,8570,2014-03-11,13.4,19.6,7.2,"ENE",32.4,11.4
78,8551,2014-03-11,14.1,23.4,8.5,"W",21.6,7.7
79,8551,2014-03-11,14.1,23.4,8.5,"W",21.6,7.7
81,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
83,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
84,8548,2014-03-11,15.1,23,10.2,"NE",32.4,9.3
86,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
87,8551,2014-03-11,14.1,23.4,8.5,"W",21.6,7.7
88,8548,2014-03-11,15.1,23,10.2,"NE",32.4,9.3
91,8567,2014-03-11,13.7,20.6,7.1,"N",32.4,5.6
93,8558,2014-03-11,11.9,19,5.3,NA,NA,NA
94,8548,2014-03-12,15.9,22.3,10,"NE",32.4,8.6
95,8567,2014-03-12,13,20.2,6.4,"W",28.8,5.4
96,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
97,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
98,8567,2014-03-12,13,20.2,6.4,"W",28.8,5.4
99,8548,2014-03-12,15.9,22.3,10,"NE",32.4,8.6
100,8548,2014-03-12,15.9,22.3,10,"NE",32.4,8.6
101,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
102,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
103,8562,2014-03-12,15.1,21.6,8.6,"E",NA,10.2
104,8548,2014-03-12,15.9,22.3,10,"NE",32.4,8.6
105,8554,2014-03-12,15,19.4,10.7,"E",39.6,16.2
106,8558,2014-03-12,13.1,21.4,4.8,NA,NA,NA
107,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
108,8551,2014-03-12,13.1,22.8,6.9,"WSW",28.8,7.7
109,8551,2014-03-12,13.1,22.8,6.9,"WSW",28.8,7.7
110,8554,2014-03-12,15,19.4,10.7,"E",39.6,16.2
111,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
112,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
113,8548,2014-03-12,15.9,22.3,10,"NE",32.4,8.6
114,8551,2014-03-12,13.1,22.8,6.9,"WSW",28.8,7.7
115,8570,2014-03-12,14,19.8,8.4,"ENE",28.8,10.7
117,8567,2014-03-12,13,20.2,6.4,"W",28.8,5.4
120,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
121,8548,2014-03-13,14.5,22.3,7.6,"W",25.2,5.9
122,8554,2014-03-13,14.7,18.5,10.6,"E",36,14
123,8570,2014-03-13,13,19.1,6.1,"E",28.8,8.1
124,8548,2014-03-13,14.5,22.3,7.6,"W",25.2,5.9
125,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
126,8548,2014-03-13,14.5,22.3,7.6,"W",25.2,5.9
128,8570,2014-03-13,13,19.1,6.1,"E",28.8,8.1
129,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
130,8570,2014-03-13,13,19.1,6.1,"E",28.8,8.1
131,8562,2014-03-13,14.2,20.7,8,"ENE",NA,9.6
132,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
133,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
134,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
135,8567,2014-03-13,12.6,20.2,7.1,"WNW",18,2.4
137,8570,2014-03-13,13,19.1,6.1,"E",28.8,8.1
138,8570,2014-03-14,11.5,17.1,5.5,"E",28.8,7.2
140,8548,2014-03-14,12.5,19.8,7.2,"W",25.2,5.6
141,8548,2014-03-14,12.5,19.8,7.2,"W",25.2,5.6
142,8567,2014-03-14,12,19.6,5,"W",18,3.3
143,8558,2014-03-14,12.3,20.1,5.1,NA,NA,NA
144,8570,2014-03-14,11.5,17.1,5.5,"E",28.8,7.2
145,8567,2014-03-14,12,19.6,5,"W",18,3.3
146,8548,2014-03-14,12.5,19.8,7.2,"W",25.2,5.6
147,8548,2014-03-14,12.5,19.8,7.2,"W",25.2,5.6
148,8567,2014-03-14,12,19.6,5,"W",18,3.3
149,8567,2014-03-14,12,19.6,5,"W",18,3.3
150,8554,2014-03-14,14.2,17.2,10.7,"ESE",21.6,8.7
151,8551,2014-03-14,11.3,17,6.4,"W",21.6,5.9
152,8570,2014-03-14,11.5,17.1,5.5,"E",28.8,7.2
153,8567,2014-03-14,12,19.6,5,"W",18,3.3
154,8567,2014-03-14,12,19.6,5,"W",18,3.3
156,8548,2014-03-15,11.9,19.1,6.2,"NW",28.8,5.4
157,8561,2014-03-15,12.4,19.2,5.6,"ENE",21.6,9
158,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
159,8558,2014-03-15,11.6,19.1,5.1,NA,NA,NA
160,8570,2014-03-15,12,18.4,6,"W",18,6
161,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
162,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
163,8558,2014-03-15,11.6,19.1,5.1,NA,NA,NA
165,8570,2014-03-15,12,18.4,6,"W",18,6
166,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
169,8554,2014-03-15,14.4,17.6,11.2,"ESE",25.2,11.7
170,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
171,8570,2014-03-15,12,18.4,6,"W",18,6
173,8537,2014-03-15,NA,NA,NA,"NE",NA,10.8
175,8548,2014-03-15,11.9,19.1,6.2,"NW",28.8,5.4
177,8570,2014-03-15,12,18.4,6,"W",18,6
178,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
180,8548,2014-03-15,11.9,19.1,6.2,"NW",28.8,5.4
181,8570,2014-03-15,12,18.4,6,"W",18,6
182,8570,2014-03-15,12,18.4,6,"W",18,6
183,8558,2014-03-15,11.6,19.1,5.1,NA,NA,NA
184,8548,2014-03-15,11.9,19.1,6.2,"NW",28.8,5.4
185,8567,2014-03-15,11,18.1,5,"WSW",25.2,5
187,8567,2014-03-16,12.5,19.4,7.5,"W",18,3
189,8570,2014-03-16,14.6,20.8,7.2,"N",21.6,7.5
191,8567,2014-03-16,12.5,19.4,7.5,"W",18,3
193,8558,2014-03-16,13.6,21.7,5.8,NA,NA,NA
195,8567,2014-03-16,12.5,19.4,7.5,"W",18,3
196,8548,2014-03-16,13.5,21.9,6.2,"N",28.8,6.2
197,8551,2014-03-16,11.5,18,5.4,"W",25.2,8.1
198,8570,2014-03-16,14.6,20.8,7.2,"N",21.6,7.5
199,8551,2014-03-16,11.5,18,5.4,"W",25.2,8.1
201,8551,2014-03-16,11.5,18,5.4,"W",25.2,8.1
202,8570,2014-03-16,14.6,20.8,7.2,"N",21.6,7.5
203,8551,2014-03-16,11.5,18,5.4,"W",25.2,8.1
204,8567,2014-03-16,12.5,19.4,7.5,"W",18,3
205,8570,2014-03-16,14.6,20.8,7.2,"N",21.6,7.5
206,8551,2014-03-16,11.5,18,5.4,"W",25.2,8.1
208,8548,2014-03-16,13.5,21.9,6.2,"N",28.8,6.2
209,8554,2014-03-16,15.4,20,8.5,"SE",25.2,10.8
213,8548,2014-03-16,13.5,21.9,6.2,"N",28.8,6.2
214,8567,2014-03-16,12.5,19.4,7.5,"W",18,3
215,8567,2014-03-16,12.5,19.4,7.5,"W",18,3
218,8570,2014-03-17,15.6,21.7,7.7,"NW",28.8,5.9
220,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
221,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
222,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
223,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
224,8551,2014-03-17,13.1,20.9,7,"WNW",28.8,4.5
225,8570,2014-03-17,15.6,21.7,7.7,"NW",28.8,5.9
226,8558,2014-03-17,15.1,23.8,7,NA,NA,NA
227,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
228,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
229,8570,2014-03-17,15.6,21.7,7.7,"NW",28.8,5.9
231,8570,2014-03-17,15.6,21.7,7.7,"NW",28.8,5.9
232,8570,2014-03-17,15.6,21.7,7.7,"NW",28.8,5.9
233,8551,2014-03-17,13.1,20.9,7,"WNW",28.8,4.5
234,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
235,8567,2014-03-17,14.1,21.8,7.8,"WNW",25.2,3.5
237,8541,2014-03-17,14.4,21.7,10.3,"NNW",25.2,8.7
240,8548,2014-03-17,13.8,22.7,5.7,"WNW",32.4,7.2
241,8571,2014-03-18,16.3,20.5,12.1,"NNW",NA,9.9
242,8570,2014-03-18,14.8,23.4,6.9,"W",21.6,6.8
244,8567,2014-03-18,12.4,21.5,4.5,"WSW",21.6,3.1
245,8554,2014-03-18,17.1,21.8,12.2,"SE",21.6,6.7
246,8567,2014-03-18,12.4,21.5,4.5,"WSW",21.6,3.1
247,8541,2014-03-18,13.3,19.1,8.5,"N",32.4,14.6
248,8567,2014-03-18,12.4,21.5,4.5,"WSW",21.6,3.1
250,8570,2014-03-18,14.8,23.4,6.9,"W",21.6,6.8
251,8567,2014-03-18,12.4,21.5,4.5,"WSW",21.6,3.1
252,8567,2014-03-18,12.4,21.5,4.5,"WSW",21.6,3.1
257,8548,2014-03-19,12.3,17.8,9,"NNW",32.4,8.6
259,8567,2014-03-19,11.1,18.7,5.6,"NNW",21.6,5.9
260,8567,2014-03-19,11.1,18.7,5.6,"NNW",21.6,5.9
261,8551,2014-03-19,12.3,20.3,4.8,"W",28.8,8.6
263,8558,2014-03-19,12.2,19.5,5,NA,NA,NA
264,8551,2014-03-19,12.3,20.3,4.8,"W",28.8,8.6
265,8567,2014-03-19,11.1,18.7,5.6,"NNW",21.6,5.9
266,8567,2014-03-19,11.1,18.7,5.6,"NNW",21.6,5.9
267,8548,2014-03-19,12.3,17.8,9,"NNW",32.4,8.6
269,8567,2014-03-19,11.1,18.7,5.6,"NNW",21.6,5.9
273,8548,2014-03-19,12.3,17.8,9,"NNW",32.4,8.6
275,8567,2014-03-19,11.1,18.7,5.6,"NNW",21.6,5.9
276,8551,2014-03-20,12.4,21,6.6,"W",21.6,5.9
277,8570,2014-03-20,15.8,22.2,8.3,"NNE",25.2,6.6
278,8567,2014-03-20,12.3,19.5,6.5,"WNW",18,3.2
279,8548,2014-03-20,14.2,22.9,7.7,"NNE",36,8.3
280,8548,2014-03-20,14.2,22.9,7.7,"NNE",36,8.3
281,8558,2014-03-20,14.1,23.2,6.4,NA,NA,NA
284,8568,2014-03-20,NA,NA,NA,"ESE",NA,4.8
285,8567,2014-03-20,12.3,19.5,6.5,"WNW",18,3.2
286,8567,2014-03-20,12.3,19.5,6.5,"WNW",18,3.2
288,8570,2014-03-20,15.8,22.2,8.3,"NNE",25.2,6.6
289,8551,2014-03-20,12.4,21,6.6,"W",21.6,5.9
291,8567,2014-03-20,12.3,19.5,6.5,"WNW",18,3.2
292,8567,2014-03-20,12.3,19.5,6.5,"WNW",18,3.2
293,8570,2014-03-21,12.1,19.5,6,"WSW",28.8,8.7
294,8570,2014-03-21,12.1,19.5,6,"WSW",28.8,8.7
295,8567,2014-03-22,9.5,13.9,6.5,"WSW",36,7.1
296,8567,2014-03-22,9.5,13.9,6.5,"WSW",36,7.1
297,8570,2014-03-22,12,17.3,6.8,"WSW",36,11.4
298,8551,2014-03-22,11.3,14.7,9.1,"W",36,5
299,8570,2014-03-22,12,17.3,6.8,"WSW",36,11.4
300,8570,2014-03-22,12,17.3,6.8,"WSW",36,11.4
301,8570,2014-03-22,12,17.3,6.8,"WSW",36,11.4
303,8570,2014-03-23,8.6,14.3,2.8,"WNW",57.6,18.5
304,8558,2014-03-23,9.7,16.2,2.2,NA,NA,NA
305,8570,2014-03-23,8.6,14.3,2.8,"WNW",57.6,18.5
306,8571,2014-03-23,7.3,12.3,3.2,"N",NA,23.1
307,8570,2014-03-24,9.1,16.4,3.6,"W",25.2,6.3
308,8570,2014-03-24,9.1,16.4,3.6,"W",25.2,6.3
309,8551,2014-03-24,9.6,13.5,4.6,"W",21.6,3.6
310,8570,2014-03-24,9.1,16.4,3.6,"W",25.2,6.3
311,8558,2014-03-25,9.5,14.9,3.3,NA,NA,NA
312,8551,2014-03-25,11.7,16.5,8.6,"NW",39.6,8.6
313,8548,2014-03-25,10.2,15.7,7.6,"WNW",43.2,12.6
314,8568,2014-03-26,NA,NA,NA,"WNW",NA,32.4
315,8567,2014-03-26,6.5,11.2,2.8,"WNW",72,18.8
316,8558,2014-03-26,10.6,16.2,4.9,NA,NA,NA
317,8567,2014-03-26,6.5,11.2,2.8,"WNW",72,18.8
318,8554,2014-03-27,12.9,18.6,7.1,"NW",50.4,18.8
319,8561,2014-03-27,9.7,15.7,4,"NW",57.6,23.4
321,8567,2014-03-30,7,12.3,2,"W",NA,1.5
322,8561,2014-04-03,11.1,16.1,6.8,"SW",46.8,17.1
323,8570,2014-04-07,14.6,20.2,8.3,"SW",21.6,5
324,8558,2014-04-07,15.7,23.1,9.7,NA,NA,NA
325,8570,2014-04-07,14.6,20.2,8.3,"SW",21.6,5
326,8554,2014-04-07,18.6,24.2,12.5,"SSE",28.8,10.2
327,8558,2014-04-07,15.7,23.1,9.7,NA,NA,NA
328,8548,2014-04-08,14.7,20.4,9.6,"NNW",25.2,7.4
329,8548,2014-04-08,14.7,20.4,9.6,"NNW",25.2,7.4
330,8570,2014-04-09,19,25,11.1,"NNE",18,7.5
331,8554,2014-04-09,22.6,27.3,16,"SE",36,16.1
332,8548,2014-04-09,17.1,23.9,12.5,"N",21.6,7.4
333,8570,2014-04-09,19,25,11.1,"NNE",18,7.5
334,8570,2014-04-09,19,25,11.1,"NNE",18,7.5
335,8554,2014-04-09,22.6,27.3,16,"SE",36,16.1
336,8551,2014-04-09,14.6,20.1,9.3,"WNW",28.8,7.2
337,8548,2014-04-10,19.6,25.6,12.9,"SSW",36,7.1
338,8548,2014-04-10,19.6,25.6,12.9,"SSW",36,7.1
340,8551,2014-04-10,18.2,27.5,11.4,"W",18,6
341,8567,2014-04-10,17.2,21.8,12.4,"NNW",21.6,4.7
342,8548,2014-04-10,19.6,25.6,12.9,"SSW",36,7.1
343,8551,2014-04-10,18.2,27.5,11.4,"W",18,6
344,8567,2014-04-10,17.2,21.8,12.4,"NNW",21.6,4.7
345,8548,2014-04-10,19.6,25.6,12.9,"SSW",36,7.1
346,8570,2014-04-10,18.8,23.8,14.2,"ENE",28.8,8.4
347,8558,2014-04-11,16.6,24.4,7.9,NA,NA,NA
348,8567,2014-04-11,17,26.2,9.9,"WSW",25.2,5.9
350,8567,2014-04-11,17,26.2,9.9,"WSW",25.2,5.9
352,8570,2014-04-11,18.2,24.4,10.5,"S",32.4,8.6
353,8548,2014-04-11,15.6,23.8,10.9,"WNW",25.2,7.7
355,8567,2014-04-11,17,26.2,9.9,"WSW",25.2,5.9
356,8548,2014-04-12,13.7,17.9,11.4,"WNW",21.6,5.7
357,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
358,8570,2014-04-12,16.8,23.8,8.2,"W",21.6,7.2
359,8548,2014-04-12,13.7,17.9,11.4,"WNW",21.6,5.7
360,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
363,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
364,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
365,8570,2014-04-12,16.8,23.8,8.2,"W",21.6,7.2
366,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
367,8548,2014-04-12,13.7,17.9,11.4,"WNW",21.6,5.7
370,8562,2014-04-12,15.5,22.6,11.1,"WNW",NA,13.7
371,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
372,8567,2014-04-12,16.4,23.9,9.2,"W",21.6,4.2
373,8551,2014-04-12,15.7,21.3,10.4,"NW",25.2,2.7
374,8567,2014-04-13,15.9,23.3,9.4,"W",25.2,3.5
375,8548,2014-04-13,15.3,22.9,11.3,"W",32.4,6.6
377,8570,2014-04-13,17.4,24.4,8.4,"NW",21.6,6.5
378,8537,2014-04-13,NA,NA,NA,NA,NA,NA
379,8548,2014-04-13,15.3,22.9,11.3,"W",32.4,6.6
380,8558,2014-04-13,13.7,19.3,11,NA,NA,NA
381,8570,2014-04-13,17.4,24.4,8.4,"NW",21.6,6.5
382,8567,2014-04-13,15.9,23.3,9.4,"W",25.2,3.5
383,8570,2014-04-14,18.7,25.1,12.4,"NNE",25.2,6.9
384,8548,2014-04-14,17.3,25.2,11.6,"NNW",25.2,7.5
385,8570,2014-04-14,18.7,25.1,12.4,"NNE",25.2,6.9
386,8551,2014-04-14,14.5,18.9,11,"W",21.6,5
387,8554,2014-04-14,19.3,23.9,14.7,"E",36,13.8
388,8567,2014-04-14,17,24.4,11.3,"WNW",18,3.5
391,8567,2014-04-14,17,24.4,11.3,"WNW",18,3.5
393,8551,2014-04-15,17.2,24.4,12.1,"W",25.2,5.9
395,8567,2014-04-15,17.1,24.3,13,"W",28.8,4.4
396,8531,2014-04-15,17.2,21.1,14.1,"E",18,12.6
399,8551,2014-04-15,17.2,24.4,12.1,"W",25.2,5.9
400,8558,2014-04-15,17.2,24.1,10.1,NA,NA,NA
401,8567,2014-04-15,17.1,24.3,13,"W",28.8,4.4
402,8570,2014-04-15,18.9,23.6,13.5,"E",21.6,6.3
403,8558,2014-04-15,17.2,24.1,10.1,NA,NA,NA
405,8551,2014-04-16,16.7,24.9,10.5,"W",21.6,5.9
406,8558,2014-04-16,14.4,21.5,9.7,NA,NA,NA
408,8548,2014-04-16,17.7,24.7,12.2,"W",25.2,6.8
409,8570,2014-04-16,17.9,24.2,11.9,"WSW",25.2,6.8
410,8570,2014-04-16,17.9,24.2,11.9,"WSW",25.2,6.8
415,8551,2014-04-17,14.7,19,10.4,"W",25.2,3.6
418,8551,2014-04-17,14.7,19,10.4,"W",25.2,3.6
419,8554,2014-04-17,17.9,20.9,13.3,"ESE",25.2,8.3
421,8570,2014-04-17,17.7,23.8,11.9,"W",18,5.6
422,8561,2014-04-17,16.2,22,10.6,"NW",36,10.8
423,8570,2014-04-17,17.7,23.8,11.9,"W",18,5.6
424,8561,2014-04-17,16.2,22,10.6,"NW",36,10.8
425,8548,2014-04-17,15.9,22.6,12.3,"WNW",32.4,6.2
426,8567,2014-04-17,16.3,24.1,11.1,"WSW",25.2,4.2
427,8567,2014-04-18,19,26.8,11.4,"W",21.6,3.3
428,8567,2014-04-18,19,26.8,11.4,"W",21.6,3.3
429,8570,2014-04-18,21,27.6,13,"WNW",18,6.1
430,8567,2014-04-18,19,26.8,11.4,"W",21.6,3.3
432,8541,2014-04-18,15.9,20,12.5,"NW",32.4,13.9
433,8567,2014-04-18,19,26.8,11.4,"W",21.6,3.3
434,8551,2014-04-18,16.3,21.3,10.5,"W",21.6,3.6
435,8548,2014-04-19,13.2,14.6,12,"NNW",21.6,6.3
436,8567,2014-04-19,15.3,23.8,10.5,"SSW",28.8,9.2
437,8548,2014-04-19,13.2,14.6,12,"NNW",21.6,6.3
438,8570,2014-04-20,11.6,15.6,7.3,"W",43.2,11.9
439,8567,2014-04-20,10.5,12.4,7.8,"WSW",28.8,9
444,8567,2014-04-20,10.5,12.4,7.8,"WSW",28.8,9
446,8548,2014-04-21,13.4,17.4,8.6,"NW",21.6,5.4
452,8551,2014-04-21,12.5,17.8,6.1,"NW",28.8,5.4
453,8570,2014-04-21,12.1,16.3,7.5,"WSW",18,3.3
454,8567,2014-04-21,11.2,17.1,5.7,"W",25.2,4.7
456,8567,2014-04-21,11.2,17.1,5.7,"W",25.2,4.7
459,8548,2014-04-22,13.4,18.9,10.5,"WNW",32.4,9.2
461,8548,2014-04-22,13.4,18.9,10.5,"WNW",32.4,9.2
462,8567,2014-04-22,10.6,15.5,6,"W",32.4,7.1
464,8554,2014-04-24,16.8,19.8,12.3,"SSW",25.2,11.4
465,8567,2014-04-24,10.7,16.5,5.3,"WSW",32.4,6.5
466,8567,2014-04-25,7.5,10.6,4.6,"WSW",32.4,7.1
467,8554,2014-04-27,17.7,23.8,11.8,"W",32.4,15.2
469,8558,2014-04-27,13.7,19,8.4,NA,NA,NA
470,8567,2014-04-27,10.3,13.4,6.2,"W",36,10.7
471,8558,2014-04-27,13.7,19,8.4,NA,NA,NA
472,8554,2014-04-28,19.4,26.2,14.1,"WNW",43.2,13.7
473,8554,2014-04-28,19.4,26.2,14.1,"WNW",43.2,13.7
474,8558,2014-04-28,14.8,22,7.9,NA,NA,NA
475,8558,2014-04-29,16,23.7,8,NA,NA,NA
476,8548,2014-04-29,14.1,19.7,8.4,"NNW",28.8,9.6
477,8548,2014-04-29,14.1,19.7,8.4,"NNW",28.8,9.6
478,8570,2014-04-29,15.6,24.6,8.9,"WNW",32.4,11.1
479,8554,2014-04-30,20.7,27.1,15.5,"WNW",36,10.5
480,8558,2014-04-30,16.9,24.5,10.5,NA,NA,NA
482,8558,2014-04-30,16.9,24.5,10.5,NA,NA,NA
483,8537,2014-04-30,NA,NA,NA,"N",NA,22.8
484,8570,2014-04-30,17,25.8,9.7,"NW",32.4,8.4
485,8551,2014-04-30,15.1,18.1,11.6,"W",21.6,0.9
486,8558,2014-04-30,16.9,24.5,10.5,NA,NA,NA
487,8554,2014-05-01,21.8,26.8,15.8,"ESE",21.6,10.2
488,8551,2014-05-01,13.6,18.5,8.1,"WNW",25.2,4.1
489,8570,2014-05-01,17.3,24.5,10.4,"WNW",32.4,9.5
490,8567,2014-05-01,14,20,8.1,"W",28.8,5.9
493,8554,2014-05-01,21.8,26.8,15.8,"ESE",21.6,10.2
494,8548,2014-05-02,15.1,22.2,10.3,"NNW",32.4,7.5
496,8567,2014-05-02,16.3,23.9,8.4,"NW",28.8,6.8
497,8567,2014-05-02,16.3,23.9,8.4,"NW",28.8,6.8
499,8567,2014-05-02,16.3,23.9,8.4,"NW",28.8,6.8
501,8567,2014-05-02,16.3,23.9,8.4,"NW",28.8,6.8
502,8562,2014-05-02,19.5,26.8,12,"NNW",NA,11.4
507,8558,2014-05-03,20.4,28.8,12.5,NA,NA,NA
508,8551,2014-05-03,18.3,27.2,9.2,"WSW",28.8,9
509,8551,2014-05-03,18.3,27.2,9.2,"WSW",28.8,9
510,8558,2014-05-03,20.4,28.8,12.5,NA,NA,NA
511,8570,2014-05-03,20,27.1,11.9,"NNE",39.6,15.8
512,8567,2014-05-03,17.4,24.9,8.5,"N",32.4,8.4
514,8570,2014-05-03,20,27.1,11.9,"NNE",39.6,15.8
515,8558,2014-05-03,20.4,28.8,12.5,NA,NA,NA
516,8567,2014-05-03,17.4,24.9,8.5,"N",32.4,8.4
519,8548,2014-05-03,18.8,27.2,11.2,"N",39.6,9.3
520,8567,2014-05-03,17.4,24.9,8.5,"N",32.4,8.4
521,8551,2014-05-03,18.3,27.2,9.2,"WSW",28.8,9
523,8554,2014-05-04,22.1,27.1,17.2,"E",32.4,14.3
524,8567,2014-05-04,16.2,23.2,9,"NW",28.8,6
525,8548,2014-05-04,18.9,26.4,12.7,"NNE",43.2,9.6
527,8558,2014-05-04,19.5,26.7,12.4,NA,NA,NA
528,8548,2014-05-04,18.9,26.4,12.7,"NNE",43.2,9.6
