"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","firstInterv_date","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","horasLat","minLat","segLat","horasLon","minLon","segLon","diff_in_days","temp","tempMax","windVelocity","windGust"
18,"Beira Litoral","Coimbra","Tábua","União das freguesias de Espariz e Sinde","40.1661111111111","-7.15111111111111","firepit",2014-03-08,15:13:00,2014-03-08,"2014-03-08",0,1,0,1,0.001,0,40,23,58,7,58,4,0,13.9,20.1,9.9,32.4
19,"Ribatejo e Oeste","Santarém","Rio Maior","São Sebastião","39.1583333333333","-8.15666666666667","firepit",2014-03-08,15:34:00,2014-03-08,"2014-03-08",0,1,0,1,0.1673,0,39,22,30,8,53,24,0,14.5,22,NA,NA
20,"Beira Litoral","Viseu","Viseu","São João de Lourosa","40.1641666666667","-7.16083333333333","firepit",2014-03-08,15:56:00,2014-03-08,"2014-03-08",0,1,0,1,0.06,0,40,36,51,7,53,39,0,13.9,20.1,9.9,32.4
21,"Alentejo","Beja","Odemira","São Teotónio","37.1638888888889","-8.15277777777778","firepit",2014-03-08,16:46:00,2014-03-08,"2014-03-08",0,1,0,1,0.086,0,37,35,50,8,48,10,0,15.9,19.7,25.1,54
22,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40.1597222222222","-7.16472222222222","agric_burn",2014-03-08,17:13:00,2014-03-08,"2014-03-08",0,1,0,1,1.5,0,40,37,35,7,29,53,0,13.9,20.1,9.9,32.4
23,"Lisboa e Vale do Tejo","Lisboa","Torres Vedras","União das freguesias de Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães","39.1588888888889","-9.15694444444444","fire",2014-03-08,17:35:00,2014-03-08,"2014-03-08",1,0,0,1,3,0,39,6,32,9,18,25,0,NA,NA,8.4,NA
24,"Ribatejo e Oeste","Santarém","Torres Novas","União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel","39.1505555555556","-8.15194444444444","agriculture",2014-03-08,19:13:00,2014-03-08,"2014-03-08",0,0,1,0,1e-04,0,39,25,2,8,35,7,0,14.5,22,NA,NA
25,"Entre Douro e Minho","Porto","Amarante","União das freguesias de Aboadela, Sanche e Várzea","41.1611111111111","-7.15361111111111","fire",2014-03-08,20:15:00,2014-03-09,"2014-03-08",0,1,0,1,59.3,0,41,17,40,7,55,13,1,14.1,21.9,1.8,NA
26,"Trás-os-Montes","Vila Real","Montalegre","Chã","41.1586111111111","-7.15555555555556","fire",2014-03-08,20:53:00,2014-03-08,"2014-03-08",0,1,0,1,1,0,41,47,31,7,43,20,0,14.1,21.9,1.8,NA
27,"Entre Douro e Minho","Viana do Castelo","Valença","União das freguesias de Gandra e Taião","42.1569444444444","-8.15027777777778","firepit",2014-03-08,21:14:00,2014-03-08,"2014-03-08",0,1,0,1,0.002,0,42,0,25,8,37,1,0,11.4,18.2,5.4,21.6
28,"Beira Interior","Guarda","Sabugal","Soito","40.1555555555556","-6.16111111111111","fire",2014-03-08,21:26:00,2014-03-09,"2014-03-08",0.0163934426229508,0.983606557377049,0,1,61,0,40,19,20,6,54,40,1,13.9,20.1,9.9,32.4
29,"Beira Litoral","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40.1591666666667","-8.15277777777778","agriculture",2014-03-08,21:55:00,2014-03-08,"2014-03-08",0,0,1,0,0.001,0,40,2,33,8,25,10,0,15,22.4,5.3,21.6
30,"Beira Litoral","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40.1586111111111","-8.16361111111111","agriculture",2014-03-09,00:35:00,2014-03-09,"2014-03-09",0,0,1,0,0.02,0,40,3,31,8,23,49,0,18.3,23.2,8.1,32.4
31,"Beira Litoral","Coimbra","Arganil","União das freguesias de Cerdeira e Moura da Serra","40.1561111111111","-7.15861111111111","firepit",2014-03-09,02:38:00,2014-03-09,"2014-03-09",0,1,0,1,0.03,0,40,13,22,7,53,31,0,14,20.3,11.4,36
32,"Entre Douro e Minho","Viana do Castelo","Caminha","Dem","41.1583333333333","-8.16","firepit",2014-03-09,11:57:00,2014-03-09,"2014-03-09",0,1,0,1,0.003,0,41,49,30,8,45,36,0,NA,NA,NA,NA
33,"Trás-os-Montes","Vila Real","Mondim de Basto","União das freguesias de Campanhó e Paradança","41.1558333333333","-7.16555555555556","fire",2014-03-09,12:09:00,2014-03-09,"2014-03-09",0,1,0,1,8,0,41,19,21,7,55,56,0,13.9,21.2,4.1,25.2
34,"Beira Litoral","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40.1594444444444","-8.15805555555556","agriculture",2014-03-09,13:41:00,2014-03-09,"2014-03-09",0,0,1,0,0.002,0,40,1,34,8,22,29,0,18.3,23.2,8.1,32.4
35,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40.1569444444444","-7.15916666666667","firepit",2014-03-09,16:58:00,2014-03-09,"2014-03-09",0,1,0,1,0.5,0,40,37,25,7,29,33,0,14,20.3,11.4,36
36,"Entre Douro e Minho","Viseu","Cinfães","Nespereira","41.1627777777778","-8.15722222222222","agric_burn",2014-03-09,19:50:00,2014-03-09,"2014-03-09",0,1,0,1,0.01,0,41,1,46,8,8,26,0,NA,NA,NA,NA
37,"Entre Douro e Minho","Porto","Baião","Gove","41.1663888888889","-7.15","firepit",2014-03-10,11:10:00,2014-03-10,"2014-03-10",0,1,0,1,0.54,0,41,8,59,7,55,0,0,13.3,17.9,3.9,21.6
38,"Beira Litoral","Coimbra","Góis","Góis","40.1608333333333","-8.15555555555556","agriculture",2014-03-10,11:48:00,2014-03-10,"2014-03-10",0,0,1,0,5e-04,0,40,8,39,8,8,20,0,16.1,19.3,5.9,28.8
39,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","Vilarinho das Cambas","41.1588888888889","-8.15972222222222","firepit",2014-03-10,12:55:00,2014-03-10,"2014-03-10",0,1,0,1,0.5,0,41,23,32,8,34,35,0,NA,NA,NA,NA
40,"Entre Douro e Minho","Viseu","Cinfães","Santiago de Piães","41.1658333333333","-8.15027777777778","agric_burn",2014-03-10,13:05:00,2014-03-10,"2014-03-10",0,1,0,1,0.015,0,41,4,57,8,12,1,0,13.3,17.9,3.9,21.6
41,"Entre Douro e Minho","Viana do Castelo","Caminha","Riba de Âncora","41.1577777777778","-8.15722222222222","firepit",2014-03-10,13:17:00,2014-03-10,"2014-03-10",0,1,0,1,0.01,0,41,48,28,8,49,26,0,NA,NA,NA,NA
42,"Entre Douro e Minho","Aveiro","Vale de Cambra","São Pedro de Castelões","40.1541666666667","-8.155","firepit",2014-03-10,13:55:00,2014-03-10,"2014-03-10",0,1,0,1,0.02,0,40,49,15,8,24,18,0,16.1,19.3,5.9,28.8
43,"Beira Litoral","Coimbra","Arganil","Piódão","40.1505555555556","-7.15","fire",2014-03-10,14:30:00,2014-03-10,"2014-03-10",0.4,0.6,0,1,3,0,40,15,2,7,50,0,0,12.4,17.9,11.7,28.8
44,"Entre Douro e Minho","Aveiro","Vale de Cambra","Junqueira","40.1516666666667","-8.15083333333333","firepit",2014-03-10,14:54:00,2014-03-10,"2014-03-10",0,1,0,1,0.3609,0,40,48,6,8,22,3,0,16.1,19.3,5.9,28.8
45,"Beira Litoral","Viseu","Santa Comba Dão","União das freguesias de Treixedo e Nagozela","40.1658333333333","-8.16027777777778","fire",2014-03-10,15:05:00,2014-03-10,"2014-03-10",0.842105263157895,0.157894736842105,0,1,9.5,0,40,25,57,8,5,37,0,16.1,19.3,5.9,28.8
46,"Beira Litoral","Aveiro","Aveiro","Requeixo, Nossa Senhora de Fátima e Nariz","40.1602777777778","-8.15333333333333","firepit",2014-03-10,15:05:00,2014-03-10,"2014-03-10",1,0,0,1,0.0439,1,40,34,37,8,34,12,0,16.1,19.3,5.9,28.8
47,"Beira Litoral","Aveiro","Santa Maria da Feira","União das freguesias de Lobão, Gião, Louredo e Guisande","41.1541666666667","-8.15111111111111","fire",2014-03-10,15:32:00,2014-03-10,"2014-03-10",0,1,0,1,1.53,0,41,2,15,8,32,4,0,13.3,17.9,3.9,21.6
48,"Entre Douro e Minho","Braga","Barcelos","União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral","41.1519444444444","-8.15555555555556","firepit",2014-03-10,15:33:00,2014-03-10,"2014-03-10",1,0,0,1,0.03,0,41,28,7,8,38,20,0,NA,NA,NA,NA
49,"Beira Interior","Guarda","Trancoso","Tamanhos","40.1638888888889","-7.15583333333333","firepit",2014-03-10,15:38:00,2014-03-10,"2014-03-10",0,1,0,1,0.1,0,40,46,50,7,18,21,0,12.4,17.9,11.7,28.8
50,"Beira Litoral","Viseu","Castro Daire","Monteiras","40.1625","-7.15111111111111","fire",2014-03-10,15:51:00,2014-03-10,"2014-03-10",0,1,0,1,2,1,40,57,45,7,53,4,0,12.4,17.9,11.7,28.8
51,"Entre Douro e Minho","Viana do Castelo","Ponte da Barca","União das freguesias de Touvedo (São Lourenço e Salvador)","41.1644444444444","-8.16583333333333","fire",2014-03-10,15:58:00,2014-03-10,"2014-03-10",0,1,0,1,4,0,41,47,52,8,21,57,0,NA,NA,NA,NA
52,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Labruja","41.1622222222222","-8.15194444444444","firepit",2014-03-10,16:06:00,2014-03-10,"2014-03-10",0,1,0,1,0.02,1,41,50,44,8,37,7,0,13.3,17.9,3.9,21.6
53,"Entre Douro e Minho","Viana do Castelo","Valença","Cerdal","41.1608333333333","-8.15333333333333","fire",2014-03-10,16:17:00,2014-03-10,"2014-03-10",0.166666666666667,0.833333333333333,0,1,3,0,41,58,39,8,36,12,0,NA,NA,NA,NA
54,"Entre Douro e Minho","Porto","Baião","Valadares","41.1661111111111","-7.16194444444444","firepit",2014-03-10,16:49:00,2014-03-10,"2014-03-10",0,1,0,1,0.5,0,41,8,58,7,57,43,0,13.3,17.9,3.9,21.6
55,"Trás-os-Montes","Bragança","Carrazeda de Ansiães","Pombal","41.1663888888889","-7.15555555555556","firepit",2014-03-10,17:20:00,2014-03-10,"2014-03-10",0,1,0,1,0.18,0,41,15,59,7,21,20,0,13.3,17.9,3.9,21.6
56,"Alentejo","Portalegre","Campo Maior","São João Batista","38.1530555555556","-7.16444444444444","agriculture",2014-03-10,18:30:00,2014-03-10,"2014-03-10",0,0,1,0,0.2713,0,38,59,11,7,6,52,0,13,18.7,12.6,NA
57,"Beira Litoral","Leiria","Caldas da Rainha","União das freguesias de Tornada e Salir do Porto","39.1513888888889","-9.16611111111111","agriculture",2014-03-10,18:51:00,2014-03-10,"2014-03-10",0,0,1,0,0.005,0,39,18,5,9,0,58,0,NA,NA,NA,NA
58,"Beira Interior","Guarda","Fornos de Algodres","Sobral Pichorro","40.1636111111111","-7.15805555555556","agric_burn",2014-03-10,18:53:00,2014-03-10,"2014-03-10",0,1,0,1,0.4,0,40,40,49,7,27,29,0,12.4,17.9,11.7,28.8
59,"Entre Douro e Minho","Aveiro","Arouca","Mansores","40.1561111111111","-8.15722222222222","fire",2014-03-10,19:00:00,2014-03-10,"2014-03-10",0,1,0,1,1.46,0,40,57,22,8,24,26,0,16.1,19.3,5.9,28.8
60,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41.1555555555556","-8.1575","firepit",2014-03-10,20:23:00,2014-03-10,"2014-03-10",0,1,0,1,0.06,0,41,48,20,8,29,27,0,NA,NA,NA,NA
61,"Trás-os-Montes","Bragança","Mogadouro","União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei","41.1597222222222","-6.15194444444445","agriculture",2014-03-10,21:12:00,2014-03-10,"2014-03-10",0,0,1,0,0.005,0,41,18,35,6,41,7,0,14.5,22.9,4.1,28.8
62,"Beira Interior","Guarda","Sabugal","Quadrazais","40.1577777777778","-6.16472222222222","agric_burn",2014-03-10,22:15:00,2014-03-10,"2014-03-10",0,0,1,0,0.001,0,40,19,28,6,59,53,0,12.4,17.9,11.7,28.8
63,"Entre Douro e Minho","Aveiro","Castelo de Paiva","Real","41.1555555555556","-8.15722222222222","firepit",2014-03-11,09:07:00,2014-03-11,"2014-03-11",0.0135287485907554,0.986471251409245,0,1,0.4435,0,41,3,20,8,16,26,0,NA,NA,NA,NA
64,"Beira Interior","Guarda","Sabugal","Foios","40.1561111111111","-6.16111111111111","agric_burn",2014-03-11,09:29:00,2014-03-11,"2014-03-11",0,0,1,0,0.01,0,40,17,22,6,53,40,0,13.4,19.6,11.4,32.4
65,"Trás-os-Montes","Vila Real","Montalegre","Chã","41.1663888888889","-7.15694444444444","firepit",2014-03-11,10:24:00,2014-03-11,"2014-03-11",0,1,0,1,0.01,0,41,46,59,7,48,25,0,13.7,20.6,5.6,32.4
66,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco","41.1619444444444","-6.15472222222222","firepit",2014-03-11,11:27:00,2014-03-11,"2014-03-11",0,1,0,1,0.172,0,41,37,43,6,56,17,0,14.1,23.4,7.7,21.6
67,"Beira Litoral","Viseu","Tondela","União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas","40.1655555555556","-8.16027777777778","firepit",2014-03-11,12:24:00,2014-03-11,"2014-03-11",0,1,0,1,0.1,0,40,34,56,8,3,37,0,15.1,23,9.3,32.4
68,"Trás-os-Montes","Vila Real","Montalegre","Ferral","41.1641666666667","-7.15805555555556","firepit",2014-03-11,12:45:00,2014-03-11,"2014-03-11",0,1,0,1,0.3,0,41,41,51,7,58,29,0,13.7,20.6,5.6,32.4
69,"Beira Litoral","Leiria","Pombal","Almagreira","39.1555555555556","-8.15138888888889","fire",2014-03-11,13:38:00,2014-03-11,"2014-03-11",0.555555555555556,0.444444444444444,0,1,1.8,0,39,57,20,8,39,5,0,11.9,19,NA,NA
70,"Entre Douro e Minho","Braga","Vieira do Minho","Cantelães","41.1658333333333","-8.15944444444444","firepit",2014-03-11,13:41:00,2014-03-11,"2014-03-11",0.2,0.8,0,1,0.5,0,41,37,57,8,7,34,0,NA,NA,NA,NA
71,"Beira Litoral","Viseu","Tabuaço","União das freguesias de Távora e Pereiro","41.1605555555556","-7.15888888888889","firepit",2014-03-11,13:49:00,2014-03-11,"2014-03-11",0,1,0,1,0.15,0,41,5,38,7,31,32,0,13.7,20.6,5.6,32.4
72,"Beira Litoral","Coimbra","Góis","União das freguesias de Cadafaz e Colmeal","40.1580555555556","-8.155","agriculture",2014-03-11,13:52:00,2014-03-11,"2014-03-11",0,0,1,0,0.5,0,40,8,29,8,4,18,0,15.1,23,9.3,32.4
73,"Beira Litoral","Leiria","Pedrógão Grande","Pedrógão Grande","39.1561111111111","-8.15805555555556","firepit",2014-03-11,13:53:00,2014-03-11,"2014-03-11",0.447761194029851,0.552238805970149,0,1,0.134,0,39,58,22,8,7,29,0,11.9,19,NA,NA
74,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Alvarães","41.1561111111111","-8.16361111111111","firepit",2014-03-11,13:55:00,2014-03-11,"2014-03-11",1,0,0,1,0.12,0,41,38,22,8,44,49,0,NA,NA,NA,NA
75,"Beira Litoral","Viseu","Mortágua","Espinho","40.1563888888889","-8.15694444444444","fire",2014-03-11,13:56:00,2014-03-11,"2014-03-11",1,0,0,1,1.1,0,40,24,23,8,18,25,0,15.1,23,9.3,32.4
76,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","União das freguesias de Vale (São Cosme), Telhado e Portela","41.1611111111111","-8.155","fire",2014-03-11,14:00:00,2014-03-11,"2014-03-11",1,0,0,1,4.38,0,41,24,40,8,30,18,0,NA,NA,NA,NA
77,"Beira Interior","Guarda","Guarda","Vale de Estrela","40.1613888888889","-7.16583333333333","agric_burn",2014-03-11,14:02:00,2014-03-11,"2014-03-11",0,1,0,1,0.005,0,40,29,41,7,17,57,0,13.4,19.6,11.4,32.4
78,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco","41.1633333333333","-6.16527777777778","fire",2014-03-11,14:03:00,2014-03-11,"2014-03-11",0,1,0,1,2.5,0,41,40,48,6,58,55,0,14.1,23.4,7.7,21.6
79,"Trás-os-Montes","Bragança","Alfândega da Fé","União das freguesias de Gebelim e Soeima","41.1544444444444","-6.15388888888889","fire",2014-03-11,14:12:00,2014-03-11,"2014-03-11",0,1,0,1,3.02,0,41,26,16,6,58,14,0,14.1,23.4,7.7,21.6
80,"Entre Douro e Minho","Viana do Castelo","Monção","Podame","41.1569444444444","-8.15527777777778","firepit",2014-03-11,14:25:00,2014-03-11,"2014-03-11",0.1,0.9,0,1,0.2,0,41,59,25,8,29,19,0,NA,NA,NA,NA
81,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Vreia de Jales","41.1630555555556","-7.15388888888889","fire",2014-03-11,14:41:00,2014-03-11,"2014-03-11",0,1,0,1,4,0,41,27,47,7,35,14,0,13.7,20.6,5.6,32.4
82,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Outeiro","41.1636111111111","-8.16444444444445","firepit",2014-03-11,14:47:00,2014-03-11,"2014-03-11",1,0,0,1,0.02,0,41,44,49,8,47,52,0,NA,NA,NA,NA
83,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","União das freguesias de Grade e Carralcova","41.1577777777778","-8.15194444444444","firepit",2014-03-11,14:56:00,2014-03-11,"2014-03-11",0,1,0,1,0.03,0,41,57,28,8,15,7,0,13.7,20.6,5.6,32.4
84,"Entre Douro e Minho","Aveiro","Vale de Cambra","Arões","40.1561111111111","-8.15555555555556","firepit",2014-03-11,15:30:00,2014-03-11,"2014-03-11",0,1,0,1,0.86,0,40,49,22,8,17,20,0,15.1,23,9.3,32.4
85,"Entre Douro e Minho","Porto","Marco de Canaveses","Penhalonga e Paços de Gaiolo","41.1586111111111","-8.16","firepit",2014-03-11,16:00:00,2014-03-11,"2014-03-11",1,0,0,1,0.05,0,41,5,31,8,9,36,0,NA,NA,NA,NA
86,"Entre Douro e Minho","Porto","Felgueiras","União das freguesias de Unhão e Lordelo","41.1605555555556","-8.15111111111111","agriculture",2014-03-11,16:40:00,2014-03-11,"2014-03-11",0,0,1,0,0.032,0,41,20,38,8,14,4,0,13.7,20.6,5.6,32.4
87,"Entre Douro e Minho","Viana do Castelo","Monção","União das freguesias de Troporiz e Lapela","42.1522222222222","-8.15361111111111","fire",2014-03-11,16:44:00,2014-03-11,"2014-03-11",0.909090909090909,0.0909090909090909,0,1,1.1,0,42,3,8,8,32,13,0,14.1,23.4,7.7,21.6
88,"Beira Litoral","Aveiro","Anadia","Tamengos","40.1522222222222","-8.15222222222222","agriculture",2014-03-11,17:05:00,2014-03-11,"2014-03-11",0,0,1,0,0.11,0,40,25,8,8,27,8,0,15.1,23,9.3,32.4
89,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Fornelos e Queijada","41.1538888888889","-8.16638888888889","firepit",2014-03-11,17:05:00,2014-03-11,"2014-03-11",1,0,0,1,0.5,1,41,48,14,8,32,59,0,NA,NA,NA,NA
90,"Entre Douro e Minho","Viana do Castelo","Caminha","Riba de Âncora","41.1655555555556","-8.16527777777778","agriculture",2014-03-11,20:53:00,2014-03-11,"2014-03-11",0,0,1,0,0.01,0,41,48,56,8,48,55,0,NA,NA,NA,NA
91,"Entre Douro e Minho","Braga","Fafe","Antime","41.1633333333333","-8.1525","fire",2014-03-11,21:22:00,2014-03-11,"2014-03-11",0.625,0.375,0,1,8,0,41,25,48,8,9,9,0,13.7,20.6,5.6,32.4
92,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41.1611111111111","-8.16583333333333","firepit",2014-03-11,22:06:00,2014-03-11,"2014-03-11",0,1,0,1,0.1,1,41,55,40,8,22,57,0,NA,NA,NA,NA
93,"Ribatejo e Oeste","Santarém","Golegã","Golegã","39.1536111111111","-8.15277777777778","agriculture",2014-03-11,23:43:00,2014-03-12,"2014-03-11",0,0,1,0,1e-04,0,39,24,13,8,29,10,1,11.9,19,NA,NA
94,"Beira Litoral","Aveiro","Aveiro","Requeixo, Nossa Senhora de Fátima e Nariz","40.1597222222222","-8.16388888888889","firepit",2014-03-12,00:07:00,2014-03-12,"2014-03-12",0,1,0,1,5e-04,0,40,35,35,8,31,50,0,15.9,22.3,8.6,32.4
95,"Trás-os-Montes","Vila Real","Montalegre","Chã","41.1636111111111","-7.15722222222222","fire",2014-03-12,10:10:00,2014-03-12,"2014-03-12",0,1,0,1,18,0,41,46,49,7,48,26,0,13,20.2,5.4,28.8
96,"Beira Litoral","Viseu","Carregal do Sal","União das freguesias de Currelos, Papízios e Sobral","40.1619444444444","-7.15944444444444","firepit",2014-03-12,11:27:00,2014-03-12,"2014-03-12",0,1,0,1,0.4,0,40,36,43,7,34,34,0,14,19.8,10.7,28.8
97,"Beira Interior","Castelo Branco","Covilhã","Orjais","40.1566666666667","-7.15638888888889","firepit",2014-03-12,11:35:00,2014-03-12,"2014-03-12",0,1,0,1,0.015,0,40,20,24,7,24,23,0,14,19.8,10.7,28.8
98,"Trás-os-Montes","Vila Real","Vila Real","Folhadela","41.1586111111111","-7.15861111111111","firepit",2014-03-12,12:45:00,2014-03-12,"2014-03-12",0.714285714285714,0.285714285714286,0,1,0.035,0,41,21,31,7,43,31,0,13,20.2,5.4,28.8
99,"Beira Litoral","Viseu","Oliveira de Frades","União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães","40.1661111111111","-8.16111111111111","firepit",2014-03-12,12:59:00,2014-03-12,"2014-03-12",0.714285714285714,0.285714285714286,0,1,0.7,0,40,44,58,8,13,40,0,15.9,22.3,8.6,32.4
100,"Beira Litoral","Aveiro","Águeda","União das freguesias de Trofa, Segadães e Lamas do Vouga","40.1538888888889","-8.155","firepit",2014-03-12,13:21:00,2014-03-12,"2014-03-12",1,0,0,1,0.26,0,40,39,14,8,27,18,0,15.9,22.3,8.6,32.4
101,"Beira Interior","Guarda","Almeida","Porto de Ovelha","40.1566666666667","-6.16555555555556","agric_burn",2014-03-12,13:52:00,2014-03-12,"2014-03-12",0,1,0,1,1,0,40,31,24,6,58,56,0,14,19.8,10.7,28.8
102,"Beira Litoral","Viseu","Castro Daire","União das freguesias de Reriz e Gafanhão","40.1605555555556","-7.16472222222222","firepit",2014-03-12,14:25:00,2014-03-12,"2014-03-12",0,1,0,1,0.05,0,40,49,38,7,55,53,0,14,19.8,10.7,28.8
103,"Alentejo","Beja","Moura","Póvoa de São Miguel","38.1616666666667","-7.15416666666667","agriculture",2014-03-12,15:02:00,2014-03-12,"2014-03-12",0,0,1,0,0.4,0,38,12,42,7,18,15,0,15.1,21.6,10.2,NA
104,"Beira Litoral","Viseu","Tondela","Canas de Santa Maria","40.1511111111111","-8.15805555555556","firepit",2014-03-12,15:06:00,2014-03-12,"2014-03-12",0.666666666666667,0.333333333333333,0,1,0.3,0,40,33,4,8,3,29,0,15.9,22.3,8.6,32.4
105,"Algarve","Faro","Loulé","Salir","37.1591666666667","-7.15694444444444","fire",2014-03-12,15:11:00,2014-03-12,"2014-03-12",0,1,0,1,1.873,0,37,15,33,7,56,25,0,15,19.4,16.2,39.6
