"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","firstInterv_date","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","temp","tempMax","windVelocity","windGust"
34,"Beira Litoral","Coimbra","Penela","União das freguesias de São Miguel, Santa Eufémia e Rabaçal","40.1594444444444",-8.15805555555556,"agriculture",2014-03-09,13:41:00,2014-03-09,2014-03-09,0,0,1,0,0.002,0,18.3,23.2,8.1,32.4
35,"Beira Interior","Guarda","Fornos de Algodres","Figueiró da Granja","40.1569444444444",-7.15916666666667,"firepit",2014-03-09,16:58:00,2014-03-09,2014-03-09,0,1,0,1,0.5,0,14,20.3,11.4,36
36,"Entre Douro e Minho","Viseu","Cinfães","Nespereira","41.1627777777778",-8.15722222222222,"agric_burn",2014-03-09,19:50:00,2014-03-09,2014-03-09,0,1,0,1,0.01,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
37,"Entre Douro e Minho","Porto","Baião","Gove","41.1663888888889",-7.15,"firepit",2014-03-10,11:10:00,2014-03-10,2014-03-10,0,1,0,1,0.54,0,13.3,17.9,3.9,21.6
38,"Beira Litoral","Coimbra","Góis","Góis","40.1608333333333",-8.15555555555556,"agriculture",2014-03-10,11:48:00,2014-03-10,2014-03-10,0,0,1,0,5e-04,0,16.1,19.3,5.9,28.8
39,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","Vilarinho das Cambas","41.1588888888889",-8.15972222222222,"firepit",2014-03-10,12:55:00,2014-03-10,2014-03-10,0,1,0,1,0.5,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
40,"Entre Douro e Minho","Viseu","Cinfães","Santiago de Piães","41.1658333333333",-8.15027777777778,"agric_burn",2014-03-10,13:05:00,2014-03-10,2014-03-10,0,1,0,1,0.015,0,13.3,17.9,3.9,21.6
41,"Entre Douro e Minho","Viana do Castelo","Caminha","Riba de Âncora","41.1577777777778",-8.15722222222222,"firepit",2014-03-10,13:17:00,2014-03-10,2014-03-10,0,1,0,1,0.01,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
42,"Entre Douro e Minho","Aveiro","Vale de Cambra","São Pedro de Castelões","40.1541666666667",-8.155,"firepit",2014-03-10,13:55:00,2014-03-10,2014-03-10,0,1,0,1,0.02,0,16.1,19.3,5.9,28.8
43,"Beira Litoral","Coimbra","Arganil","Piódão","40.1505555555556",-7.15,"fire",2014-03-10,14:30:00,2014-03-10,2014-03-10,0.4,0.6,0,1,3,0,12.4,17.9,11.7,28.8
44,"Entre Douro e Minho","Aveiro","Vale de Cambra","Junqueira","40.1516666666667",-8.15083333333333,"firepit",2014-03-10,14:54:00,2014-03-10,2014-03-10,0,1,0,1,0.3609,0,16.1,19.3,5.9,28.8
45,"Beira Litoral","Viseu","Santa Comba Dão","União das freguesias de Treixedo e Nagozela","40.1658333333333",-8.16027777777778,"fire",2014-03-10,15:05:00,2014-03-10,2014-03-10,0.842105263157895,0.157894736842105,0,1,9.5,0,16.1,19.3,5.9,28.8
46,"Beira Litoral","Aveiro","Aveiro","Requeixo, Nossa Senhora de Fátima e Nariz","40.1602777777778",-8.15333333333333,"firepit",2014-03-10,15:05:00,2014-03-10,2014-03-10,1,0,0,1,0.0439,1,16.1,19.3,5.9,28.8
47,"Beira Litoral","Aveiro","Santa Maria da Feira","União das freguesias de Lobão, Gião, Louredo e Guisande","41.1541666666667",-8.15111111111111,"fire",2014-03-10,15:32:00,2014-03-10,2014-03-10,0,1,0,1,1.53,0,13.3,17.9,3.9,21.6
48,"Entre Douro e Minho","Braga","Barcelos","União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral","41.1519444444444",-8.15555555555556,"firepit",2014-03-10,15:33:00,2014-03-10,2014-03-10,1,0,0,1,0.03,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
49,"Beira Interior","Guarda","Trancoso","Tamanhos","40.1638888888889",-7.15583333333333,"firepit",2014-03-10,15:38:00,2014-03-10,2014-03-10,0,1,0,1,0.1,0,12.4,17.9,11.7,28.8
50,"Beira Litoral","Viseu","Castro Daire","Monteiras","40.1625",-7.15111111111111,"fire",2014-03-10,15:51:00,2014-03-10,2014-03-10,0,1,0,1,2,1,12.4,17.9,11.7,28.8
51,"Entre Douro e Minho","Viana do Castelo","Ponte da Barca","União das freguesias de Touvedo (São Lourenço e Salvador)","41.1644444444444",-8.16583333333333,"fire",2014-03-10,15:58:00,2014-03-10,2014-03-10,0,1,0,1,4,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
52,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Labruja","41.1622222222222",-8.15194444444444,"firepit",2014-03-10,16:06:00,2014-03-10,2014-03-10,0,1,0,1,0.02,1,13.3,17.9,3.9,21.6
53,"Entre Douro e Minho","Viana do Castelo","Valença","Cerdal","41.1608333333333",-8.15333333333333,"fire",2014-03-10,16:17:00,2014-03-10,2014-03-10,0.166666666666667,0.833333333333333,0,1,3,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
54,"Entre Douro e Minho","Porto","Baião","Valadares","41.1661111111111",-7.16194444444444,"firepit",2014-03-10,16:49:00,2014-03-10,2014-03-10,0,1,0,1,0.5,0,13.3,17.9,3.9,21.6
55,"Trás-os-Montes","Bragança","Carrazeda de Ansiães","Pombal","41.1663888888889",-7.15555555555556,"firepit",2014-03-10,17:20:00,2014-03-10,2014-03-10,0,1,0,1,0.18,0,13.3,17.9,3.9,21.6
56,"Alentejo","Portalegre","Campo Maior","São João Batista","38.1530555555556",-7.16444444444444,"agriculture",2014-03-10,18:30:00,2014-03-10,2014-03-10,0,0,1,0,0.2713,0,13,18.7,12.6,41.0200520833333
57,"Beira Litoral","Leiria","Caldas da Rainha","União das freguesias de Tornada e Salir do Porto","39.1513888888889",-9.16611111111111,"agriculture",2014-03-10,18:51:00,2014-03-10,2014-03-10,0,0,1,0,0.005,0,18.9550943396226,26.4949056603774,9.8279843444227,33.9494645247657
58,"Beira Interior","Guarda","Fornos de Algodres","Sobral Pichorro","40.1636111111111",-7.15805555555556,"agric_burn",2014-03-10,18:53:00,2014-03-10,2014-03-10,0,1,0,1,0.4,0,12.4,17.9,11.7,28.8
59,"Entre Douro e Minho","Aveiro","Arouca","Mansores","40.1561111111111",-8.15722222222222,"fire",2014-03-10,19:00:00,2014-03-10,2014-03-10,0,1,0,1,1.46,0,16.1,19.3,5.9,28.8
60,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41.1555555555556",-8.1575,"firepit",2014-03-10,20:23:00,2014-03-10,2014-03-10,0,1,0,1,0.06,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
61,"Trás-os-Montes","Bragança","Mogadouro","União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei","41.1597222222222",-6.15194444444445,"agriculture",2014-03-10,21:12:00,2014-03-10,2014-03-10,0,0,1,0,0.005,0,14.5,22.9,4.1,28.8
62,"Beira Interior","Guarda","Sabugal","Quadrazais","40.1577777777778",-6.16472222222222,"agric_burn",2014-03-10,22:15:00,2014-03-10,2014-03-10,0,0,1,0,0.001,0,12.4,17.9,11.7,28.8
63,"Entre Douro e Minho","Aveiro","Castelo de Paiva","Real","41.1555555555556",-8.15722222222222,"firepit",2014-03-11,09:07:00,2014-03-11,2014-03-11,0.0135287485907554,0.986471251409245,0,1,0.4435,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
64,"Beira Interior","Guarda","Sabugal","Foios","40.1561111111111",-6.16111111111111,"agric_burn",2014-03-11,09:29:00,2014-03-11,2014-03-11,0,0,1,0,0.01,0,13.4,19.6,11.4,32.4
65,"Trás-os-Montes","Vila Real","Montalegre","Chã","41.1663888888889",-7.15694444444444,"firepit",2014-03-11,10:24:00,2014-03-11,2014-03-11,0,1,0,1,0.01,0,13.7,20.6,5.6,32.4
66,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco","41.1619444444444",-6.15472222222222,"firepit",2014-03-11,11:27:00,2014-03-11,2014-03-11,0,1,0,1,0.172,0,14.1,23.4,7.7,21.6
67,"Beira Litoral","Viseu","Tondela","União das freguesias de Vilar de Besteiros e Mosteiro de Fráguas","40.1655555555556",-8.16027777777778,"firepit",2014-03-11,12:24:00,2014-03-11,2014-03-11,0,1,0,1,0.1,0,15.1,23,9.3,32.4
68,"Trás-os-Montes","Vila Real","Montalegre","Ferral","41.1641666666667",-7.15805555555556,"firepit",2014-03-11,12:45:00,2014-03-11,2014-03-11,0,1,0,1,0.3,0,13.7,20.6,5.6,32.4
69,"Beira Litoral","Leiria","Pombal","Almagreira","39.1555555555556",-8.15138888888889,"fire",2014-03-11,13:38:00,2014-03-11,2014-03-11,0.555555555555556,0.444444444444444,0,1,1.8,0,11.9,19,9.8279843444227,33.9494645247657
70,"Entre Douro e Minho","Braga","Vieira do Minho","Cantelães","41.1658333333333",-8.15944444444444,"firepit",2014-03-11,13:41:00,2014-03-11,2014-03-11,0.2,0.8,0,1,0.5,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
71,"Beira Litoral","Viseu","Tabuaço","União das freguesias de Távora e Pereiro","41.1605555555556",-7.15888888888889,"firepit",2014-03-11,13:49:00,2014-03-11,2014-03-11,0,1,0,1,0.15,0,13.7,20.6,5.6,32.4
72,"Beira Litoral","Coimbra","Góis","União das freguesias de Cadafaz e Colmeal","40.1580555555556",-8.155,"agriculture",2014-03-11,13:52:00,2014-03-11,2014-03-11,0,0,1,0,0.5,0,15.1,23,9.3,32.4
73,"Beira Litoral","Leiria","Pedrógão Grande","Pedrógão Grande","39.1561111111111",-8.15805555555556,"firepit",2014-03-11,13:53:00,2014-03-11,2014-03-11,0.447761194029851,0.552238805970149,0,1,0.134,0,11.9,19,9.8279843444227,33.9494645247657
74,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Alvarães","41.1561111111111",-8.16361111111111,"firepit",2014-03-11,13:55:00,2014-03-11,2014-03-11,1,0,0,1,0.12,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
75,"Beira Litoral","Viseu","Mortágua","Espinho","40.1563888888889",-8.15694444444444,"fire",2014-03-11,13:56:00,2014-03-11,2014-03-11,1,0,0,1,1.1,0,15.1,23,9.3,32.4
76,"Entre Douro e Minho","Braga","Vila Nova de Famalicão","União das freguesias de Vale (São Cosme), Telhado e Portela","41.1611111111111",-8.155,"fire",2014-03-11,14:00:00,2014-03-11,2014-03-11,1,0,0,1,4.38,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
77,"Beira Interior","Guarda","Guarda","Vale de Estrela","40.1613888888889",-7.16583333333333,"agric_burn",2014-03-11,14:02:00,2014-03-11,2014-03-11,0,1,0,1,0.005,0,13.4,19.6,11.4,32.4
78,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco","41.1633333333333",-6.16527777777778,"fire",2014-03-11,14:03:00,2014-03-11,2014-03-11,0,1,0,1,2.5,0,14.1,23.4,7.7,21.6
79,"Trás-os-Montes","Bragança","Alfândega da Fé","União das freguesias de Gebelim e Soeima","41.1544444444444",-6.15388888888889,"fire",2014-03-11,14:12:00,2014-03-11,2014-03-11,0,1,0,1,3.02,0,14.1,23.4,7.7,21.6
80,"Entre Douro e Minho","Viana do Castelo","Monção","Podame","41.1569444444444",-8.15527777777778,"firepit",2014-03-11,14:25:00,2014-03-11,2014-03-11,0.1,0.9,0,1,0.2,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
81,"Trás-os-Montes","Vila Real","Vila Pouca de Aguiar","Vreia de Jales","41.1630555555556",-7.15388888888889,"fire",2014-03-11,14:41:00,2014-03-11,2014-03-11,0,1,0,1,4,0,13.7,20.6,5.6,32.4
82,"Entre Douro e Minho","Viana do Castelo","Viana do Castelo","Outeiro","41.1636111111111",-8.16444444444445,"firepit",2014-03-11,14:47:00,2014-03-11,2014-03-11,1,0,0,1,0.02,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
83,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","União das freguesias de Grade e Carralcova","41.1577777777778",-8.15194444444444,"firepit",2014-03-11,14:56:00,2014-03-11,2014-03-11,0,1,0,1,0.03,0,13.7,20.6,5.6,32.4
84,"Entre Douro e Minho","Aveiro","Vale de Cambra","Arões","40.1561111111111",-8.15555555555556,"firepit",2014-03-11,15:30:00,2014-03-11,2014-03-11,0,1,0,1,0.86,0,15.1,23,9.3,32.4
85,"Entre Douro e Minho","Porto","Marco de Canaveses","Penhalonga e Paços de Gaiolo","41.1586111111111",-8.16,"firepit",2014-03-11,16:00:00,2014-03-11,2014-03-11,1,0,0,1,0.05,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
86,"Entre Douro e Minho","Porto","Felgueiras","União das freguesias de Unhão e Lordelo","41.1605555555556",-8.15111111111111,"agriculture",2014-03-11,16:40:00,2014-03-11,2014-03-11,0,0,1,0,0.032,0,13.7,20.6,5.6,32.4
87,"Entre Douro e Minho","Viana do Castelo","Monção","União das freguesias de Troporiz e Lapela","42.1522222222222",-8.15361111111111,"fire",2014-03-11,16:44:00,2014-03-11,2014-03-11,0.909090909090909,0.0909090909090909,0,1,1.1,0,14.1,23.4,7.7,21.6
88,"Beira Litoral","Aveiro","Anadia","Tamengos","40.1522222222222",-8.15222222222222,"agriculture",2014-03-11,17:05:00,2014-03-11,2014-03-11,0,0,1,0,0.11,0,15.1,23,9.3,32.4
89,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Fornelos e Queijada","41.1538888888889",-8.16638888888889,"firepit",2014-03-11,17:05:00,2014-03-11,2014-03-11,1,0,0,1,0.5,1,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
90,"Entre Douro e Minho","Viana do Castelo","Caminha","Riba de Âncora","41.1655555555556",-8.16527777777778,"agriculture",2014-03-11,20:53:00,2014-03-11,2014-03-11,0,0,1,0,0.01,0,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
91,"Entre Douro e Minho","Braga","Fafe","Antime","41.1633333333333",-8.1525,"fire",2014-03-11,21:22:00,2014-03-11,2014-03-11,0.625,0.375,0,1,8,0,13.7,20.6,5.6,32.4
92,"Entre Douro e Minho","Viana do Castelo","Arcos de Valdevez","Couto","41.1611111111111",-8.16583333333333,"firepit",2014-03-11,22:06:00,2014-03-11,2014-03-11,0,1,0,1,0.1,1,18.0605009633911,25.6203275529865,7.0720502901354,31.1170682730924
93,"Ribatejo e Oeste","Santarém","Golegã","Golegã","39.1536111111111",-8.15277777777778,"agriculture",2014-03-11,23:43:00,2014-03-12,2014-03-11,0,0,1,0,1e-04,0,11.9,19,15.3323232323232,39.4609442060086
94,"Beira Litoral","Aveiro","Aveiro","Requeixo, Nossa Senhora de Fátima e Nariz","40.1597222222222",-8.16388888888889,"firepit",2014-03-12,00:07:00,2014-03-12,2014-03-12,0,1,0,1,5e-04,0,15.9,22.3,8.6,32.4
95,"Trás-os-Montes","Vila Real","Montalegre","Chã","41.1636111111111",-7.15722222222222,"fire",2014-03-12,10:10:00,2014-03-12,2014-03-12,0,1,0,1,18,0,13,20.2,5.4,28.8
96,"Beira Litoral","Viseu","Carregal do Sal","União das freguesias de Currelos, Papízios e Sobral","40.1619444444444",-7.15944444444444,"firepit",2014-03-12,11:27:00,2014-03-12,2014-03-12,0,1,0,1,0.4,0,14,19.8,10.7,28.8
97,"Beira Interior","Castelo Branco","Covilhã","Orjais","40.1566666666667",-7.15638888888889,"firepit",2014-03-12,11:35:00,2014-03-12,2014-03-12,0,1,0,1,0.015,0,14,19.8,10.7,28.8
98,"Trás-os-Montes","Vila Real","Vila Real","Folhadela","41.1586111111111",-7.15861111111111,"firepit",2014-03-12,12:45:00,2014-03-12,2014-03-12,0.714285714285714,0.285714285714286,0,1,0.035,0,13,20.2,5.4,28.8
99,"Beira Litoral","Viseu","Oliveira de Frades","União das freguesias de Oliveira de Frades, Souto de Lafões e Sejães","40.1661111111111",-8.16111111111111,"firepit",2014-03-12,12:59:00,2014-03-12,2014-03-12,0.714285714285714,0.285714285714286,0,1,0.7,0,15.9,22.3,8.6,32.4
100,"Beira Litoral","Aveiro","Águeda","União das freguesias de Trofa, Segadães e Lamas do Vouga","40.1538888888889",-8.155,"firepit",2014-03-12,13:21:00,2014-03-12,2014-03-12,1,0,0,1,0.26,0,15.9,22.3,8.6,32.4
101,"Beira Interior","Guarda","Almeida","Porto de Ovelha","40.1566666666667",-6.16555555555556,"agric_burn",2014-03-12,13:52:00,2014-03-12,2014-03-12,0,1,0,1,1,0,14,19.8,10.7,28.8
102,"Beira Litoral","Viseu","Castro Daire","União das freguesias de Reriz e Gafanhão","40.1605555555556",-7.16472222222222,"firepit",2014-03-12,14:25:00,2014-03-12,2014-03-12,0,1,0,1,0.05,0,14,19.8,10.7,28.8
103,"Alentejo","Beja","Moura","Póvoa de São Miguel","38.1616666666667",-7.15416666666667,"agriculture",2014-03-12,15:02:00,2014-03-12,2014-03-12,0,0,1,0,0.4,0,15.1,21.6,10.2,41.0200520833333
104,"Beira Litoral","Viseu","Tondela","Canas de Santa Maria","40.1511111111111",-8.15805555555556,"firepit",2014-03-12,15:06:00,2014-03-12,2014-03-12,0.666666666666667,0.333333333333333,0,1,0.3,0,15.9,22.3,8.6,32.4
105,"Algarve","Faro","Loulé","Salir","37.1591666666667",-7.15694444444444,"fire",2014-03-12,15:11:00,2014-03-12,2014-03-12,0,1,0,1,1.873,0,15,19.4,16.2,39.6
106,"Ribatejo e Oeste","Santarém","Abrantes","União das freguesias de Aldeia do Mato e Souto","39.1522222222222",-8.15916666666667,"firepit",2014-03-12,16:05:00,2014-03-12,2014-03-12,0.343642611683849,0.656357388316151,0,1,0.1164,1,13.1,21.4,15.3323232323232,39.4609442060086
107,"Beira Litoral","Viseu","Viseu","Ribafeita","40.1622222222222",-7.15361111111111,"firepit",2014-03-12,16:30:00,2014-03-12,2014-03-12,0.5,0.5,0,1,0.4,0,14,19.8,10.7,28.8
108,"Entre Douro e Minho","Viana do Castelo","Monção","Pinheiros","42.1583333333333",-8.16611111111111,"firepit",2014-03-12,16:32:00,2014-03-12,2014-03-12,1,0,0,1,0.5,0,13.1,22.8,7.7,28.8
109,"Trás-os-Montes","Bragança","Bragança","Coelhoso","41.1547222222222",-6.16638888888889,"fire",2014-03-12,16:32:00,2014-03-12,2014-03-12,0.445103857566766,0.554896142433234,0,1,3.033,0,13.1,22.8,7.7,28.8
110,"Algarve","Faro","Castro Marim","Castro Marim","37.1619444444444",-7.16333333333333,"firepit",2014-03-12,17:21:00,2014-03-12,2014-03-12,0,1,0,1,0.5,0,15,19.4,16.2,39.6
111,"Beira Interior","Guarda","Figueira de Castelo Rodrigo","Castelo Rodrigo","40.1586111111111",-6.15666666666667,"agric_burn",2014-03-12,17:23:00,2014-03-12,2014-03-12,0,0,1,0,0.02,0,14,19.8,10.7,28.8
112,"Beira Interior","Guarda","Trancoso","Tamanhos","40.1613888888889",-7.16444444444444,"agric_burn",2014-03-12,19:23:00,2014-03-12,2014-03-12,0,1,0,1,0.02,0,14,19.8,10.7,28.8
113,"Beira Litoral","Viseu","São Pedro do Sul","União das freguesias de Carvalhais e Candal","40.1511111111111",-8.16444444444445,"firepit",2014-03-12,19:32:00,2014-03-12,2014-03-12,0,1,0,1,0.001,0,15.9,22.3,8.6,32.4
